0, 92.66666666666667
1, 102.66666666666667
2, 63.833333333333336
3, 49.833333333333336
4, 91.0
5, 116.16666666666667
6, 75.5
7, 26.5
8, 99.83333333333333
9, 81.66666666666667
10, 32.666666666666664
11, 93.5
12, 74.83333333333333
13, 52.333333333333336
14, 106.66666666666667
15, 60.666666666666664
16, 57.0
17, 43.666666666666664
18, 37.0
19, 34.333333333333336
20, 55.333333333333336
21, 99.33333333333333
22, 45.166666666666664
23, 20.666666666666668
24, 36.5
25, 23.166666666666668
26, 41.666666666666664
27, 16.333333333333332
28, 27.166666666666668
29, 21.0
30, 67.16666666666667
31, 54.333333333333336
32, 69.16666666666667
33, 36.333333333333336
34, 21.333333333333332
35, 39.333333333333336
36, 18.666666666666668
37, 34.166666666666664
38, 14.5
39, 24.333333333333332
40, 31.166666666666668
41, 24.833333333333332
42, 48.666666666666664
43, 23.5
44, 32.333333333333336
45, 65.16666666666667
46, 10.333333333333334
47, 15.5
48, 24.0
49, 14.0
50, 6.666666666666667
51, 15.166666666666666
52, 11.333333333333334
53, 3.3333333333333335
54, 11.5
55, 61.333333333333336
56, 56.0
57, 17.0
58, 16.166666666666668
59, 9.833333333333334
60, 47.666666666666664
61, 66.66666666666667
62, 30.5
63, 38.0
64, 30.333333333333332
65, 24.0
66, 98.83333333333333
67, 73.0
68, 26.166666666666668
69, 48.0
70, 34.333333333333336
71, 34.333333333333336
72, 47.166666666666664
73, 63.833333333333336
74, 40.666666666666664
75, 20.333333333333332
76, 58.666666666666664
77, 41.0
78, 52.666666666666664
79, 41.333333333333336
80, 2.6666666666666665
81, 11.666666666666666
82, 3.3333333333333335
83, 17.0
84, 51.833333333333336
85, 23.666666666666668
86, 57.333333333333336
87, 46.0
88, 5.0
89, 10.666666666666666
90, 17.166666666666668
91, 27.333333333333332
92, 42.833333333333336
93, 29.166666666666668
94, 8.166666666666666
